"date","index","wave","statenumber","Land","stmt.id","data.id"
"2020-03-10",1,1,3,"BY",315,1
"2020-03-10",1,1,11,"NW",317,2
"2020-03-10",4,1,4,"BE",316,3
"2020-03-11",3,1,3,"BY",318,4
"2020-03-11",3,1,4,"BE",319,5
"2020-03-12",3,1,9,"MV",322,6
"2020-03-12",2,1,8,"HE",321,7
"2020-03-12",3,1,11,"NW",323,8
"2020-03-12",4,1,14,"SN",325,9
"2020-03-12",3,1,6,"HB",320,10
"2020-03-12",4,1,12,"RP",324,11
"2020-03-13",3,1,8,"HE",329,12
"2020-03-13",3,1,8,"HE",329,13
"2020-03-13",1,1,7,"HH",327,14
"2020-03-13",3,1,14,"SN",331,15
"2020-03-13",1,1,3,"BY",326,16
"2020-03-13",3,1,13,"SL",330,17
"2020-03-14",3,1,9,"MV",332,18
"2020-03-15",1,1,17,"TH",333,19
"2020-03-16",4,1,3,"BY",336,20
"2020-03-16",3,1,10,"NI",337,21
"2020-03-16",4,1,3,"BY",336,22
"2020-03-16",1,1,3,"BY",334,23
"2020-03-17",3,1,11,"NW",338,24
"2020-03-18",3,1,16,"SH",200,25
"2020-03-18",3,1,16,"SH",200,26
"2020-03-18",1,1,4,"BE",339,27
"2020-03-18",3,1,16,"SH",200,28
"2020-03-19",1,1,7,"HH",342,29
"2020-03-19",1,1,3,"BY",341,30
"2020-03-19",1,1,3,"BY",341,31
"2020-03-19",1,1,3,"BY",341,32
"2020-03-19",4,1,3,"BY",306,33
"2020-03-19",3,1,3,"BY",302,34
"2020-03-19",4,1,3,"BY",306,35
"2020-03-19",1,1,3,"BY",341,36
"2020-03-19",4,1,3,"BY",306,37
"2020-03-19",4,1,3,"BY",306,38
"2020-03-20",1,1,7,"HH",344,39
"2020-03-20",3,1,5,"BR",343,40
"2020-03-20",1,1,8,"HE",345,41
"2020-03-20",1,1,13,"SL",347,42
"2020-03-20",3,1,11,"NW",346,43
"2020-03-22",3,1,6,"HB",349,44
"2020-03-22",3,1,11,"NW",351,45
"2020-03-22",3,1,8,"HE",350,46
"2020-03-22",3,1,16,"SH",353,47
"2020-03-22",1,1,4,"BE",348,48
"2020-03-22",4,1,13,"SL",352,49
"2020-03-23",3,1,9,"MV",354,50
"2020-03-24",1,1,11,"NW",954,51
"2020-03-24",1,1,11,"NW",954,52
"2020-03-24",1,1,11,"NW",954,53
"2020-03-24",3,1,8,"HE",355,54
"2020-03-24",1,1,11,"NW",954,55
"2020-03-24",4,1,8,"HE",148,56
"2020-03-24",1,1,8,"HE",150,57
"2020-03-24",1,1,11,"NW",954,58
"2020-03-24",3,1,8,"HE",355,59
"2020-03-24",1,1,11,"NW",954,60
